cue,response,congruence,type_of_association,cue_type
dodish,geck,congruent,direct,adjective
dodish,horse,congruent,direct,adjective
dodish,foobly,incongruent,random,adjective
dodish,mipp,incongruent,direct,adjective
dodish,apple,incongruent,direct,adjective
dodish,dodish,repeat,random,adjective
geck,geck,repeat,random,noun
geck,horse,congruent,shared,noun
geck,foobly,incongruent,direct,noun
geck,mipp,incongruent,shared,noun
geck,apple,incongruent,shared,noun
geck,dodish,congruent,direct,noun
foobly,geck,incongruent,direct,adjective
foobly,horse,incongruent,direct,adjective
foobly,foobly,repeat,random,adjective
foobly,mipp,congruent,direct,adjective
foobly,apple,congruent,direct,adjective
foobly,dodish,incongruent,random,adjective
mipp,geck,incongruent,shared,noun
mipp,horse,incongruent,shared,noun
mipp,foobly,congruent,direct,noun
mipp,mipp,repeat,random,noun
mipp,apple,congruent,shared,noun
mipp,dodish,incongruent,direct,noun
