success,timeout,failed_images,failed_audio,failed_video,trial_type,trial_index,time_elapsed,internal_node_id,run_id,condition,recorded_at,source_code_version,ip,user_agent,device,browser,browser_version,platform,platform_version,referer,accept_language,sona_id,ID,view_history,rt,typeoftrial,stimulus,response,sentence,novel1,novel2,novel3,correct,cue,target,type,prime,relatedness,correct_key,block_number,question_order
TRUE,FALSE,[],[],[],preload,0,1130,0.0-0.0,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,,,,,,,,,,,,,,,,,
,,,,,instructions,1,31962,0.0-1.0,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,"[{""page_index"":0,""viewing_time"":16204},{""page_index"":1,""viewing_time"":11918},{""page_index"":2,""viewing_time"":2707}]",30829,instructions,,,,,,,,,,,,,,,
,,,,,html-keyboard-response,2,36847,0.0-2.0-0.0-0.0,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,4882,sentence,I took a lot of photos of a geck I saw., ,I took a lot of photos of a geck I saw.,dodish,geck,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,3,40336,0.0-2.0-0.0-0.1,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,3488,sentence,I would love to see a dodish horse., ,I would love to see a dodish horse.,dodish,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,4,44090,0.0-2.0-0.0-0.2,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,3753,sentence,"At the end of day one, I was tired and just hoped to see a geck.", ,"At the end of day one, I was tired and just hoped to see a geck.",dodish,geck,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,5,46191,0.0-2.0-0.0-0.3,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2100,sentence,You never know with a dodish horse., ,You never know with a dodish horse.,dodish,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,6,51199,0.0-2.0-0.0-0.4,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,null,sentence,I went to Zimziland because I heard you can get a foobly apple there.,null,I went to Zimziland because I heard you can get a foobly apple there.,foobly,Zimziland,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,7,53556,0.0-2.0-0.0-0.5,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2355,sentence,I hadn't seen a dodish horse for hours., ,I hadn't seen a dodish horse for hours.,dodish,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,html-keyboard-response,8,56030,0.0-2.0-0.0-0.6,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,2472,sentence,"As soon as I arrived, I noticed a foobly apple.", ,"As soon as I arrived, I noticed a foobly apple.",foobly,NOT_FOUND,NOT_FOUND,,,,,,,,,
,,,,,survey-text,9,63381,0.0-2.0-0.0-1.6-0.6,52,1,11/28/23 22:50,50853196e778b5ff033c04a66adaecea,139.140.221.234,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36",Macintosh,Chrome,119.0.0.0,OS X,10_15_7,https://dgbhklbplk.cognition.run/?sona_id=13111,"en-US,en;q=0.9",13111,416778381,,7346,attention,,foobly,,foobly,NOT_FOUND,NOT_FOUND,1,,,,,,,,
